iter	RMSE
219	10.08054757
220	10.05292938
221	10.02817243
222	10.00430844
223	9.980608787
224	9.957170443
225	9.934387476
226	9.910182353
227	9.889946521
228	9.867564595
229	9.845104904
230	9.821426553
231	9.799865229
232	9.780820581
233	9.762101381
234	9.742618619
235	9.7230647
236	9.704102327
237	9.686889791
238	9.669984277
239	9.65074222
240	9.632361378
241	9.615633774
242	9.597275243
243	9.578955649
244	9.559909817
245	9.544319894
246	9.527837488
247	9.510760974
248	9.494627456
249	9.478426806
250	9.464000506
251	9.449866912
252	9.434158973
253	9.416537185
254	9.400952564
255	9.387966446
256	9.374587146
257	9.360745421
258	9.346035532
259	9.330701953
260	9.316398483
261	9.303531074
262	9.289558033
263	9.276366285
264	9.262209382
265	9.249715322
266	9.237149683
267	9.222936878
268	9.211790293
269	9.20086909
270	9.188376468
271	9.176339138
272	9.164827106
273	9.15237106
274	9.141875929
275	9.129982563
276	9.119681755
277	9.107764943
278	9.098093462
279	9.088310866
280	9.078858296
281	9.068051754
282	9.057958271
283	9.048926074
284	9.039081639
285	9.030047882
286	9.020331528
287	9.01055683
288	9.00148536
289	8.992173132
290	8.983385721
291	8.973534412
292	8.964646122
293	8.955685273
294	8.947694262
295	8.939345256
296	8.930795385
297	8.921764454
298	8.913198536
299	8.90636216
300	8.899110075
301	8.892235487
302	8.884315699
303	8.876843098
304	8.868781468
305	8.862137429
306	8.854600799
307	8.847817593
308	8.841335904
309	8.835240954
310	8.829008701
311	8.822366752
312	8.815453602
313	8.808267431
314	8.801483858
315	8.794058683
316	8.787136581
317	8.781249407
318	8.775712162
319	8.769396791
320	8.762964591
321	8.757092837
322	8.751509812
323	8.745661414
324	8.740432626
325	8.735430144
326	8.73104975
327	8.725385112
328	8.720101921
329	8.714469701
330	8.709285838
331	8.704318388
332	8.699418293
333	8.694408309
334	8.689462069
335	8.684667092
336	8.679637623
337	8.675408666
338	8.6710085
339	8.666111995
340	8.662685049
341	8.657784642
342	8.653850607
343	8.649842714
344	8.645102747
345	8.641309141
346	8.638030754
347	8.633355783
348	8.629304774
349	8.625353739
350	8.621490272
351	8.618779836
352	8.615217047
353	8.611413975
354	8.607719993
355	8.603719811
356	8.59952032
357	8.595781897
358	8.592231803
359	8.588670171
360	8.585158008
361	8.581829037
362	8.578445533
363	8.575111622
364	8.571189913
365	8.567761294
366	8.5643161
367	8.561639303
368	8.558579671
369	8.555353646
370	8.552480749
371	8.549442806
372	8.545679208
373	8.54258078
374	8.539210668
375	8.536071598
376	8.53311518
377	8.530238638
378	8.52706837
379	8.524854716
380	8.521845022
381	8.519134463
382	8.516023092
383	8.513859343
384	8.511057508
385	8.507780743
386	8.505228251
387	8.502092923
388	8.499044213
389	8.49650445
390	8.493997829
391	8.491501416
392	8.488864661
393	8.485927938
394	8.483648993
395	8.480995065
396	8.478471146
397	8.476034133
398	8.473370658
399	8.471083349
400	8.468499949
401	8.466663346
402	8.464916771
403	8.462743601
404	8.460490248
405	8.458166294
406	8.45615166
407	8.453656766
408	8.451580069
409	8.449233732
410	8.447626734
411	8.445423446
412	8.443542674
413	8.441739269
414	8.4394882
415	8.437219512
416	8.435168009
417	8.432954661
418	8.431238905
419	8.429856542
420	8.428060166
421	8.426160186
422	8.424131925
423	8.422039009
424	8.420281546
425	8.417845031
426	8.415969438
427	8.413649181
428	8.411652218
429	8.409578905
430	8.407749304
431	8.405640968
432	8.403803877
433	8.402002924
434	8.400055516
435	8.398398772
436	8.396428562
437	8.39407356
438	8.392292743
439	8.390432726
440	8.388591814
441	8.387018451
442	8.385365253
443	8.383418717
444	8.381398321
445	8.379605303
446	8.377561028
447	8.375538615
448	8.373507628
449	8.371716407
450	8.370342461
451	8.368267944
452	8.366784715
453	8.364978208
454	8.363607513
455	8.361996958
456	8.360403588
457	8.358852207
458	8.357177703
459	8.355847171
460	8.35416399
461	8.352541476
462	8.351112109
463	8.349617254
464	8.347871282
465	8.345728705
466	8.343885959
467	8.342235658
468	8.340767927
469	8.339226392
470	8.337646188
471	8.335844674
472	8.334222701
473	8.332746114
474	8.331629636
475	8.330061386
476	8.328207725
477	8.326340691
478	8.325062161
479	8.323746314
480	8.322422542
481	8.321156172
482	8.319645038
483	8.318149093
484	8.316511434
485	8.31515088
486	8.313937227
487	8.312440188
488	8.310959666
489	8.309198195
490	8.307578395
491	8.305699918
492	8.304530621
493	8.302635709
494	8.301508544
495	8.299985047
496	8.298604736
497	8.297230861
498	8.296113607
499	8.295014977
500	8.29393741
501	8.292668206
502	8.291058883
503	8.289352801
504	8.287623177
505	8.286386972
506	8.285088731
507	8.28346286
508	8.282341818
509	8.281444506
510	8.279759837
511	8.278527674
512	8.277490581
513	8.276366621
514	8.27495381
515	8.273808274
516	8.272459277
517	8.271488374
518	8.270367206
519	8.26927096
520	8.267965405
521	8.26659652
522	8.265303799
523	8.263935718
524	8.26287883
525	8.26146929
526	8.260162828
527	8.25903114
528	8.257496385
529	8.256334152
530	8.254972696
531	8.253673558
532	8.252308039
533	8.250844016
534	8.249524543
535	8.247615609
536	8.245762669
537	8.244188223
538	8.242743727
539	8.24145572
540	8.240378529
541	8.238912294
542	8.237355026
543	8.235973308
544	8.234559244
545	8.233211084
546	8.232061659
547	8.230835357
548	8.229281314
549	8.228089045
550	8.227313445
551	8.225953621
552	8.224621499
553	8.223608654
554	8.221899763
555	8.220885511
556	8.219469584
557	8.218093927
558	8.216812807
559	8.215579482
560	8.214411319
561	8.212908549
562	8.211870049
563	8.210804466
564	8.20951453
565	8.208680678
566	8.207842192
567	8.206634266
568	8.205960823
569	8.204747455
570	8.203467808
571	8.201872367
572	8.200341511
573	8.198727845
574	8.197829885
575	8.196570878
576	8.195695281
577	8.194468208
578	8.193303045
579	8.19250762
580	8.19150464
581	8.190380932
582	8.189250079
583	8.18810083
584	8.18647232
585	8.185336968
586	8.184115388
587	8.183051223
588	8.181948489
589	8.181046789
590	8.179871491
591	8.1787337
592	8.177554699
593	8.176618621
594	8.175947234
595	8.175034304
596	8.173876206
597	8.17268497
598	8.171037871
599	8.170124317
600	8.16885941
601	8.167966492
602	8.166637548
603	8.165501496
604	8.164319374
605	8.163761724
606	8.162559416
607	8.161592807
608	8.160612525
609	8.159884378
610	8.158638993
611	8.15756919
612	8.156315291
613	8.1551435
614	8.154234583
615	8.153131089
616	8.15213547
617	8.150756153
618	8.149851617
619	8.149105729
620	8.147862601
621	8.147202866
622	8.145985299
623	8.144971183
624	8.143756845
625	8.142750755
626	8.1413105
627	8.139473114
628	8.138109375
629	8.13700626
630	8.135981131
631	8.134639398
632	8.133634863
633	8.132836553
634	8.131922468
635	8.130733901
636	8.128899939
637	8.128057098
638	8.126756058
639	8.125090867
640	8.124046916
641	8.12285094
642	8.121693597
643	8.120900681
644	8.119638249
645	8.118694182
646	8.117778497
647	8.116883444
648	8.115985167
649	8.11477288
650	8.113753515
651	8.112787079
652	8.111372197
653	8.110462389
654	8.109454462
655	8.108352105
656	8.107492049
657	8.106621429
658	8.105733507
659	8.104370977
660	8.103615567
661	8.102415623
662	8.101325653
663	8.100152589
664	8.099000007
665	8.097388655
666	8.096131072
667	8.095326374
668	8.09430735
669	8.093072954
670	8.091846193
671	8.091012599
672	8.089618049
673	8.088239498
674	8.086975986
675	8.086332034
676	8.085463229
677	8.084694957
678	8.083478344
679	8.082406608
680	8.080945042
681	8.079242502
682	8.077837398
683	8.07654531
684	8.075783925
685	8.074624452
686	8.07356437
687	8.072351374
688	8.071204208
689	8.070269953
690	8.069401984
691	8.068034353
692	8.066935238
693	8.065603148
694	8.064556973
695	8.063557919
696	8.062616133
697	8.061566964
698	8.060730496
699	8.059657386
700	8.058896588
701	8.05774071
702	8.05647228
703	8.055205978
704	8.054141006
705	8.052954296
706	8.051945537
707	8.051292883
708	8.050018893
709	8.048859463
710	8.048199652
711	8.047305883
712	8.046343878
713	8.044852987
714	8.04369842
715	8.042561226
716	8.041746756
717	8.040763354
718	8.039699616
719	8.038890314
720	8.037781737
721	8.036940411
722	8.036110163
723	8.035284067
724	8.033914149
725	8.032444832
726	8.031504383
727	8.030453697
728	8.029375665
729	8.028285843
730	8.026870658
731	8.026005651
732	8.024566687
733	8.023342503
734	8.022500594
735	8.021837091
736	8.020566461
737	8.019951766
738	8.018610384
739	8.017507166
740	8.016582991
741	8.015253679
742	8.01469599
743	8.013978189
744	8.012882604
745	8.011871405
746	8.010599228
747	8.009282183
748	8.007535771
749	8.006398451
750	8.005371523
751	8.004385648
752	8.003545333
753	8.002602646
754	8.001491895
755	8.000204776
756	7.999392103
757	7.998541832
758	7.99796035
759	7.997069007
760	7.996398222
761	7.994951721
762	7.993476527
763	7.992428471
764	7.991265054
765	7.9904217
766	7.989251077
767	7.988109738
768	7.987093615
769	7.985507071
770	7.984734293
771	7.984165799
772	7.983213974
773	7.981775337
774	7.980631364
775	7.979303486
776	7.978284543
777	7.977162462
778	7.975728737
779	7.974317842
780	7.97347966
781	7.971993847
782	7.970577774
783	7.969553249
784	7.968545991
785	7.967282465
786	7.965881027
787	7.964658874
788	7.963867329
789	7.962602417
790	7.961496697
791	7.96007645
792	7.958897375
793	7.957622781
794	7.956558792
795	7.955651097
796	7.95427327
797	7.952746638
798	7.951563778
799	7.950402773
800	7.949246206
801	7.948331064
802	7.947528441
803	7.94654143
804	7.945400353
805	7.944429508
806	7.94308983
807	7.941945542
808	7.941077115
809	7.939928167
810	7.939130933
811	7.937956372
812	7.936906189
813	7.93583898
814	7.934740581
815	7.933873408
816	7.932675306
817	7.931642363
818	7.930033051
819	7.929110908
820	7.927701071
821	7.927037671
822	7.926331237
823	7.924828578
824	7.924123558
825	7.923161767
826	7.922149636
827	7.92120595
828	7.920222281
829	7.919181738
830	7.917863953
831	7.916986398
832	7.916387611
833	7.9149177
834	7.913845679
835	7.912869251
836	7.911924411
837	7.911179249
838	7.910074758
839	7.909260983
840	7.908069239
841	7.907017865
842	7.905729746
843	7.904679064
844	7.903869416
845	7.902598392
846	7.901632914
847	7.900140976
848	7.898962655
849	7.89809773
850	7.897114062
851	7.896052441
852	7.8947706
853	7.893819074
854	7.892626356
855	7.891693554
856	7.890311457
857	7.889630622
858	7.888663258
859	7.887525536
860	7.886465291
861	7.885137781
862	7.883995836
863	7.883347784
864	7.881858932
865	7.8808171
866	7.879670874
867	7.878616962
868	7.877197292
869	7.876466157
870	7.875712887
871	7.874524618
872	7.87273501
873	7.871409235
874	7.87023641
875	7.869537303
876	7.868192279
877	7.866305955
878	7.865179627
879	7.864162473
880	7.863071822
881	7.862118632
882	7.860598608
883	7.859451686
884	7.858714879
885	7.857369409
886	7.855869724
887	7.854486504
888	7.853621781
889	7.852332738
890	7.851398586
891	7.849960135
892	7.849231189
893	7.848098106
894	7.846479927
895	7.845536303
896	7.844528692
897	7.843688294
898	7.842375096
899	7.840932279
